name,analysis_no_of_clusters_score,analysis_infiltration_score,analysis_mrca_score,analysis_total_score,n_d_0,n_d_1,n_d_2,n_d_3,n_d_4,n_s,n_p,Ne_d_0,Ne_d_1,Ne_d_2,Ne_d_3,Ne_d_4,Ne_s,Ne_p,Ne_actual,mut_haplotypes_sample, mut_haplotypes_population,method
3_17_1000_0.0025_0.00025_0.5_100,0.2216532446311857,0.75644714662685,0.0842037378388759,0.2812549039116889,38,38,24,15,9,12,28,2323.5760240694267,2323.5760240694267,1027.1057564645478,498.618337393319,243.200526884655,362.00434255384937,532.9666734989481,1000,96,1014.0,MEOWSS
3_14_1000_0.00025_0.00025_0.7_100,0.0638924218335983,0.81813276749235,0.046776172792658,0.17446103632627,63,63,27,17,9,5,5,41464.94713188934,41464.94713188934,9673.46948684107,4957.27692938563,2110.4649297267665,999.0161642865628,651.4304046964561,1000,148,1403.0,MEOWSS
4_13_1000_0.00025_2.5e-05_0.5_100,0.3925170068027211,0.9551020408163264,0.4595179492895859,0.4869549032777915,26,26,14,8,7,10,11,11060.316953460668,11060.316953460668,4338.503519461649,2013.5676586368595,1688.2963462700643,2717.553331498303,1728.0751037956911,1000,105,1003.0,MEOWSS
4_16_1000_0.0025_2.5e-05_0.5_100,0.6535947712418301,0.8710918710918711,0.4535752566397092,0.6562164090290181,29,29,19,10,10,22,38,1351.6752912941931,1351.6752912941931,688.0000756230587,274.6275399364753,274.6275399364753,862.0996160123673,780.3023000538318,1000,102,1009.0,MEOWSS
4_14_1000_0.00025_0.00025_0.5_100,0.107100187745349,0.7420138888888889,0.0313995050989929,0.1909821405199265,29,29,18,13,9,5,5,14457.464400775698,14457.464400775698,6648.949275762329,4111.110550064966,2459.9914072691804,1130.7632592379448,685.0623235920798,1000,93,1012.0,MEOWSS
4_15_1000_0.00025_0.0025_0.5_100,0.0501623376623376,0.8888747387669801,0.011809979506431,0.170216344104648,62,62,23,9,2,4,6,75715.10639867952,75715.10639867952,9586.709461659446,2432.0052688465503,357.3228635878246,843.2424125427566,847.5830556360867,1000,96,1005.0,MEOWSS
4_17_1000_0.0025_0.00025_0.5_100,0.3618710691823898,0.6334494040983956,0.1439573775062341,0.3699207656683674,42,42,23,12,8,23,40,2570.6373988661644,2570.6373988661644,904.3494797972148,347.9391523090576,200.7329945421699,904.3494797972148,826.4332928448129,1000,106,1037.0,MEOWSS
4_17_1000_0.0025_0.00025_0.7_100,0.3322843822843824,0.5622047661498761,0.1626367282709341,0.3413252917621891,50,50,31,17,12,24,34,2732.278787128478,2732.278787128478,1218.27427943989,502.52679012237945,311.9519869544634,825.1554926216086,626.9747358356142,1000,143,1414.0,MEOWSS
4_15_1000_0.00025_0.0025_0.7_100,0.0358290598290598,0.8044966777408638,0.0015472830603039,0.145986936000517,69,69,37,19,13,4,5,49507.54370437644,49507.54370437644,15701.835745539936,5763.040817318294,3417.1331505252974,755.231633520166,649.0365851423699,1000,150,1438.0,MEOWSS
4_14_1000_0.00025_0.00025_0.7_100,0.0604695721802791,0.8276414712584926,0.0079658804511223,0.1676698032826376,51,51,29,15,12,4,4,28696.009827877715,28696.009827877715,11067.32351553798,4246.472729557467,3134.593001384902,766.2141011985723,503.767233751708,1000,141,1414.0,MEOWSS
4_16_1000_0.0025_2.5e-05_0.7_100,0.5864779874213836,0.7008358079665822,0.4386628172115064,0.5814593849716818,32,32,20,14,13,23,27,1206.8959304742589,1206.8959304742589,604.8954031463177,370.02750188198326,334.9772386550732,738.352137811454,472.2029172248401,1000,159,1432.0,MEOWSS
4_13_1000_0.00025_2.5e-05_0.7_100,0.2938967136150234,0.7231664308017163,0.3113261837036396,0.3609015917063197,18,18,14,9,8,6,7,5461.392802213533,5461.392802213533,3852.688760605879,2137.0994951370344,1833.9400503130628,1269.5563670916083,959.603900511957,1000,142,1412.0,MEOWSS
