name,analysis_no_of_clusters_score,analysis_infiltration_score,analysis_mrca_score,analysis_total_score,n_d_0,n_d_1,n_d_2,n_d_3,n_d_4,n_s,n_p,Ne_d_0,Ne_d_1,Ne_d_2,Ne_d_3,Ne_d_4,Ne_s,Ne_p,Ne_actual,mut_haplotypes_sample, mut_haplotypes_population
2_16_1000_0.0025_2.5e-05_0.7_100,0.6020979020979023,0.5675492184648987,0.3733963806677704,0.5626103713384318,16,16,9,8,7,16,31,461.80688085960406,461.80688085960406,213.25306359894975,183.01838882076814,154.15958239070005,461.80688085960406,559.7829127707134,1000,143,1417 
5_14_1000_0.00025_0.00025_0.7_100,0.07525074690567649,0.5762738323795388,0.006941055169201875,0.14015775596628463,40,40,30,21,15,5,5,18523.775547565423,18523.775547565423,11620.009287172583,6808.15292636949,4235.133509087799,1009.3702881504582,650.6008652659624,1000,142,1415 
6_13_1000_0.00025_2.5e-05_0.5_100,0.43833333333333335,0.9729761904761904,0.15115552654526312,0.4754530908865514,8,8,6,5,2,6,10,2046.371137739599,2046.371137739599,1401.3224732877047,1107.686503083856,354.19450847285964,1401.3224732877047,1537.5770790301553,1000,100,1025 
3_16_1000_0.0025_2.5e-05_0.5_100,0.7277227722772278,0.7369574908586418,0.5381597888356425,0.7006735325482021,16,16,12,9,7,16,28,535.2662842262765,535.2662842262765,354.6422111428059,238.86943406856096,170.8984191874777,535.2662842262765,534.4532531292886,1000,101,1002 
6_14_1000_0.00025_0.00025_0.5_100,0.0642156862745098,0.8334948096885813,0.003431196629204991,0.1704898813398248,35,35,16,12,9,3,4,22256.078976023535,22256.078976023535,5825.017811132129,3811.2798972117484,2543.3381070302025,605.9792344823419,530.001334735366,1000,85,1004 
6_15_1000_0.00025_0.0025_0.5_100,0.09273182957393483,0.7809693222603546,0.0004308195570718797,0.18212230197436835,57,57,24,9,5,7,10,60164.35117246331,60164.35117246331,10339.343092191777,2441.1568404012587,1123.887389548119,1742.7783120545503,1541.1456178010158,1000,95,1012 
4_17_1000_0.0025_0.00025_0.5_100,0.3556266846361186,0.6114327234610253,0.08582398021112575,0.35352718479610573,37,37,21,13,11,23,40,2018.977861305758,2018.977861305758,785.356208768615,389.1361333619799,308.5076662204727,904.3494797972149,826.4332928448129,1000,106,1037 
3_17_1000_0.0025_0.00025_0.5_100,0.20433346949891068,0.7177101533199678,0.09541298992142858,0.26500190013544694,39,39,25,17,7,12,28,2446.4948164027005,2446.4948164027005,1098.2392994571699,600.0380513911058,173.6895117387168,362.00434255384937,532.9666734989481,1000,96,1014 
6_15_1000_0.00025_0.0025_0.7_100,0.08069828722002635,0.6064805864984267,0.00861273451486605,0.14875279920601236,65,65,28,10,8,8,8,47970.31267178878,47970.31267178878,10606.845747093335,2476.3078128205616,1849.4124047866449,1849.4124047866449,1120.4797719552575,1000,138,1412 
2_16_1000_0.0025_2.5e-05_0.5_100,0.8214285714285714,0.696483593437375,0.6448778817082389,0.7762042212718421,19,19,13,9,7,23,34,702.4615895727943,702.4615895727943,401.9900752819856,241.42064405458225,172.543858691533,946.7749675438546,674.9739533922623,1000,98,1033 
6_14_1000_0.00025_0.00025_0.7_100,0.04855449642543584,0.8720896828194984,0.002873775050346634,0.16523266617828183,39,39,22,16,11,3,3,18480.67881139776,18480.67881139776,7484.695936967424,4737.960981614622,2838.265366551,544.4830561464963,362.79870284788086,1000,134,1415 
4_16_1000_0.0025_2.5e-05_0.5_100,0.8627450980392155,0.869281045751634,0.7355369316975942,0.8446442652448352,25,25,16,10,8,22,38,1056.731349182415,1056.731349182415,532.8231987907247,274.6275399364753,203.29144771729398,862.0996160123673,780.3023000538318,1000,102,1009 
4_17_1000_0.0025_0.00025_0.7_100,0.27184028093119006,0.4956655302771261,0.06491194786923675,0.27437481837378747,46,46,31,20,13,24,34,2348.8283780007346,2348.8283780007346,1218.27427943989,632.6263438195932,347.4681921752985,825.1554926216086,626.9747358356142,1000,143,1414 
4_16_1000_0.0025_2.5e-05_0.7_100,0.5643156633722671,0.5951044387642612,0.2946246415815336,0.5284803264124561,26,26,16,13,10,23,27,882.8721627483819,882.8721627483819,443.6310940083727,334.97723865507317,236.89741078417458,738.352137811454,472.2029172248401,1000,159,1432 
7_14_1000_0.00025_0.00025_0.5_100,0.0671349288935137,0.8382073422396004,0.0061257691958475574,0.17364441694077676,42,42,25,12,5,4,6,29500.357219180456,29500.357219180456,11214.60967888222,3667.843963493373,1130.7632592379448,850.3813064792739,846.3431732505265,1000,93,1014 
6_13_1000_0.00025_2.5e-05_0.7_100,0.5056306306306306,0.8511717577633326,0.09664886513732113,0.4961145348765395,8,8,7,4,4,6,7,1812.0322901970767,1812.0322901970767,1526.9914947515456,757.5846487713912,757.5846487713912,1255.7807871024293,958.9584579702454,1000,148,1418 
5_17_1000_0.0025_0.00025_0.5_100,0.4090337335620355,0.7840149974708067,0.22549609156204226,0.43775027684835216,45,45,26,17,7,21,32,2953.349215123322,2953.349215123322,1099.5155710857382,572.0002929914834,168.33317289779274,785.356208768615,625.9600320499634,1000,106,1033 
7_13_1000_0.00025_2.5e-05_0.5_100,0.5598705501618123,0.9038931224219264,0.3269465777186234,0.576535340134351,8,8,3,3,3,6,10,2026.3569436025205,2026.3569436025205,578.2487729884502,578.2487729884502,578.2487729884502,1389.0475882921116,1540.5924636806344,1000,103,1014 
7_15_1000_0.00025_0.0025_0.5_100,0.06994689159637613,0.7123326513468267,0.002452940732657465,0.15618066292938587,58,58,17,8,5,5,6,60837.448167086084,60837.448167086084,5969.6254309950655,2067.4615224893378,1117.2439845904498,1117.2439845904498,847.5830556360867,1000,97,1005 
7_13_1000_0.00025_2.5e-05_0.7_100,0.3079470198675497,0.6104316142361739,0.04547506621413837,0.3139489159748316,9,9,6,5,4,6,8,2097.8133554166698,2097.8133554166698,1249.219227528851,994.07928828061,754.0727989746708,1249.219227528851,1121.6469372248378,1000,151,1403 
7_14_1000_0.00025_0.00025_0.7_100,0.05945831570038087,0.8758097654108119,0.01739566657771976,0.17560163578854637,43,43,25,15,12,4,5,21308.130052700675,21308.130052700675,8892.882294745143,4269.602760909719,3150.0483065584554,768.799923526017,650.3264145429616,1000,139,1419 
7_15_1000_0.00025_0.0025_0.7_100,0.05454286010792861,0.582570660786555,0.0074622643163119624,0.12668494084098003,70,70,32,21,10,6,6,52797.27447180865,52797.27447180865,12654.725924704357,6724.595255321156,2432.333673302887,1260.2730059271926,803.0825335687044,1000,146,1410 
8_13_1000_0.00025_2.5e-05_0.5_100,0.6318181818181818,0.9476363636363636,0.48674983313070064,0.6574306567877869,10,10,8,6,4,6,8,2672.8322475022956,2672.8322475022956,1983.360845013531,1362.5799093903468,814.0740894787934,1362.5799093903468,1179.010172555604,1000,110,1042 
8_14_1000_0.00025_0.00025_0.5_100,0.1653514739229025,0.9085021321961619,0.08234823770820045,0.26437358723168614,30,30,19,12,7,7,7,14031.08861354915,14031.08861354915,6779.287998385374,3492.3173444619897,1688.2963462700645,1688.2963462700645,1013.7505139381246,1000,105,1010 
8_15_1000_0.00025_0.0025_0.5_100,0.04579627454270851,0.8807080708070807,0.0011034375098685422,0.16432911842743836,61,61,23,10,4,3,5,65170.27457509265,65170.27457509265,9299.574585917002,2756.1924566856223,832.0970552419699,580.9512522868395,685.9260294927045,1000,101,1004 
8_13_1000_0.00025_2.5e-05_0.7_100,0.4094202898550725,0.6491478078757107,0.11926101590666828,0.40185552646590755,12,12,9,7,6,9,12,3157.9243856742755,3157.9243856742755,2155.9294355060983,1557.0502052375186,1279.2642644111859,2155.9294355060983,1802.8442979155125,1000,138,1400 
5_16_1000_0.0025_2.5e-05_0.7_100,0.5328798185941044,0.5720047690883396,0.2540323500799776,0.4969214408911205,26,26,18,14,11,20,32,917.1572529693959,917.1572529693959,538.4604829584579,380.4574664097624,275.24019442169947,625.1425364934191,581.6227755469199,1000,147,1420 
