hap1_name,hap2_name,IBD_length,total_differences
0,1,408,233.26733578855755
0,2,504,403.220642443007
0,3,896,347.7413925706306
0,4,503,380.63164976853653
0,5,364,264.6056820197906
0,6,620,572.7138023175023
0,7,586,446.59168377414613
0,8,934,322.83607880717767
0,9,410,241.64168943520954
0,10,532,481.4284302600484
0,11,504,446.2962360047686
0,12,931,310.9357389629155
0,13,595,450.6859619025175
0,14,506,269.58438162118466
0,15,611,491.8587476703189
0,16,454,455.38408364324425
0,17,624,535.6606079571902
0,18,423,254.63005308959418
0,19,919,328.46355798366045
0,20,495,299.52240043962877
0,21,300,287.3097742264411
0,22,681,575.3607480545655
0,23,689,267.1215840673446
0,24,643,517.6867202146567
0,25,466,504.5636659505864
0,26,462,332.1435444697277
0,27,380,388.34907590344915
0,28,566,463.9915386956133
0,29,384,214.541958531459
0,30,500,449.3341663196024
0,31,480,379.3910511219299
0,32,404,256.598927614672
0,33,455,314.3436094950265
0,34,404,251.75650127112308
0,35,588,592.1446033511328
0,36,444,281.88558813954984
0,37,509,307.7988981705277
0,38,615,572.0889953709551
0,39,1321,349.9578140208609
0,40,681,550.4286180194515
0,41,643,515.84068859369
0,42,853,257.07774525238045
0,43,437,269.46725438827906
0,44,319,297.60899611424173
0,45,273,278.55062078349766
0,46,400,247.3374849200151
0,47,534,387.6387745336961
0,48,462,299.53663257952775
0,49,467,313.192208591294
0,50,721,410.7882316496359
0,51,640,578.9466010595747
0,52,498,451.2641957827644
0,53,622,575.615509029891
0,54,681,574.5090775473361
0,55,669,540.7768457509648
0,56,454,300.6142861609223
0,57,414,242.08401877214146
0,58,877,248.7162693244682
0,59,440,310.57441022524523
0,60,521,326.79625855327504
0,61,473,344.66489956418644
0,62,622,573.703514254137
0,63,759,415.8015838086535
0,64,605,500.73568518995665
0,65,849,194.8527388129494
0,66,410,240.80030246456695
0,67,572,489.08887332756655
0,68,46,0.7715721783530027
0,69,592,610.1186525155963
0,70,475,344.239703021133
0,71,409,237.8583363471215
0,72,418,240.53748861605172
0,73,418,240.5374886160517
0,74,598,454.5037779991271
0,75,448,338.9869250631444
0,76,404,250.42254764940614
0,77,558,556.7868240727192
0,78,584,387.3875964577183
0,79,878,372.7145964780611
0,80,599,482.0958241241628
0,81,620,572.6849554597653
0,82,661,531.9314897787594
0,83,681,548.9099100316945
0,84,410,240.80030266936325
0,85,603,408.8284351852436
0,86,498,447.8523629562882
0,87,425,322.5530029096164
0,88,465,291.62356799887255
0,89,500,315.9689095923162
0,90,598,471.1783491184523
0,91,477,519.1713800286391
0,92,432,432.61588762323674
0,93,521,327.4406706624721
0,94,659,599.6950444617753
0,95,539,554.4559190920548
0,96,448,392.0854393551065
0,97,559,414.488631708749
0,98,830,210.32752473198659
0,99,461,498.84371944669687
0,100,404,253.5232863757773
0,101,657,529.6469053115558
0,102,669,536.5149721387336
0,103,449,438.85868845906765
0,104,622,576.3886339076454
0,105,624,535.4954341748412
0,106,436,310.8352168156589
0,107,491,449.4141071730203
0,108,448,339.5631148686486
0,109,629,585.178070962364
0,110,563,248.6242983508768
0,111,336,225.88505408866624
0,112,466,504.574556405544
0,113,521,326.79625855327504
0,114,563,353.1852371500644
0,115,428,273.64738738030354
0,116,878,372.7145964780611
0,117,467,344.54342635539194
0,118,584,387.72696657218575
0,119,623,413.28780561911907
0,120,855,472.5792499839886
0,121,853,258.6449764598895
0,122,682,549.1431769322749
0,123,498,447.9231151363928
0,124,763,690.8634007924785
0,125,480,386.5761435801523
0,126,527,422.5724678602518
0,127,525,505.9905069949373
0,128,523,436.54046260241165
0,129,622,574.6595087922502
0,130,740,606.1951413506681
0,131,461,311.2870673092006
0,132,490,306.65796060595886
0,133,477,519.1731025509097
0,134,682,548.9273890908609
0,135,483,209.1335827253792
0,136,681,551.7145930511265
0,137,479,404.55337116165845
0,138,5399,16.9999055558179
0,139,477,320.50195450343665
0,140,410,240.75261676997806
0,141,1638,80.39058561925638
0,142,500,318.8522975340295
0,143,612,511.08926249715955
0,144,546,516.8407500823113
0,145,472,338.4273252674778
0,146,410,239.99367174322254
0,147,473,373.2803992798769
0,148,408,233.2673415859471
0,149,451,265.3126698991332
0,150,531,481.1214127766016
0,151,401,261.2033849752707
0,152,448,338.9869250631444
0,153,624,561.064295563759
0,154,622,573.7035113104172
0,155,770,684.8681853363914
0,156,378,389.29319987413714
0,157,622,575.6500134426004
0,158,550,534.4151533054477
0,159,549,532.6448271370768
0,160,503,322.3731087476009
0,161,671,576.4832842325363
0,162,473,344.66495061471636
0,163,577,472.6063853018988
0,164,448,440.0342640175889
0,165,305,292.2651144144469
0,166,464,332.3480187600078
0,167,657,528.5759293047798
0,168,295,323.01123903111284
0,169,518,375.5021423185747
0,170,596,476.6704346326208
0,171,469,349.14017218476283
